time,speed_ms,dir_from_deg,u,v
2019-05-12 12:18:00,3.0,351.0,0.469303395120691,-2.9630650217854133
2019-05-12 12:24:00,2.6,345.0,0.6729295172665541,-2.511407148351578
2019-05-12 12:30:00,3.1,345.0,0.8023390398178145,-2.9943700614961117
2019-05-12 12:36:00,2.9,348.0,0.6029439033715014,-2.8366280421280363
2019-05-12 12:42:00,3.9,353.0,0.47529043928007464,-3.870929991401156
2019-05-12 12:48:00,3.8,358.0,0.13261808746950357,-3.7976851426725635
2019-05-12 12:54:00,4.3,358.0,0.15006783582075403,-4.2973805561821115
2019-05-12 13:00:00,3.0,349.0,0.5724269861296369,-2.9448815503429913
2019-05-12 13:06:00,4.1,360.0,1.5063155629512442e-15,-4.1
2019-05-12 13:12:00,3.4,4.0,-0.23717201073002592,-3.3917177708834023
2019-05-12 13:18:00,4.1,356.0,0.28600154235091196,-4.0900126060652795
2019-05-12 13:24:00,4.1,359.0,0.07155486639285945,-4.099375550141204
2019-05-12 13:30:00,3.6,353.0,0.43872963625853045,-3.57316614590876
2019-05-12 13:36:00,4.3,5.0,-0.37476969381492914,-4.283637201794505
2019-05-12 13:42:00,4.0,11.0,-0.7632359815061789,-3.926508733790656
2019-05-12 13:48:00,4.5,17.0,-1.3156726712523155,-4.303371401833659
2019-05-12 13:54:00,4.7,6.0,-0.49128377735797146,-4.674252908230884
2019-05-12 14:00:00,3.8,10.0,-0.6598630751343357,-3.7422694614463903
2019-05-12 14:06:00,4.0,0.0,4.898587196589413e-16,-4.0
2019-05-12 14:12:00,3.5,358.0,0.12214823845875329,-3.497867894566835
2019-05-12 14:18:00,4.0,354.0,0.4181138530706177,-3.978087581473093
2019-05-12 14:24:00,4.4,358.0,0.15355778549100416,-4.397319638884022
2019-05-12 14:30:00,4.2,352.0,0.5845270240322772,-4.159125888714596
2019-05-12 14:36:00,3.8,349.0,0.7250741824308734,-3.730183297101122
2019-05-12 14:42:00,4.4,355.0,0.3834852680896972,-4.3832566716036805
2019-05-12 14:48:00,4.7,352.0,0.6541135745123102,-4.65425992308538
2019-05-12 14:54:00,5.1,9.0,-0.7978157717051767,-5.037210537035202
2019-05-12 15:00:00,4.7,1.0,-0.08202631025523309,-4.699284167235039
2019-05-12 15:06:00,5.9,359.0,0.1029691979799685,-5.899101401422709
2019-05-12 15:12:00,5.2,12.0,-1.0811407922523495,-5.086367523815789
2019-05-12 15:18:00,5.2,5.0,-0.45320986228782134,-5.180212430077077
2019-05-12 15:24:00,6.5,17.0,-1.900416080697789,-6.21598091375973
2019-05-12 15:30:00,4.0,4.0,-0.2790258949765011,-3.990256201039297
2019-05-12 15:36:00,3.5,9.0,-0.5475206276408076,-3.456909192082982
2019-05-12 15:42:00,3.0,17.0,-0.8771151141682103,-2.868914267889106
2019-05-12 15:48:00,3.1,26.0,-1.3589505550461403,-2.7862615435274174
2019-05-12 15:54:00,5.1,37.0,-3.0692566180754466,-4.073041101241193
2019-05-12 16:00:00,5.1,11.0,-0.973125876420378,-5.006298635583086
2019-05-12 16:06:00,4.7,9.0,-0.7352419856890845,-4.6421352007971475
2019-05-12 16:12:00,4.0,28.0,-1.8778862511435634,-3.5317903714357075
2019-05-12 16:18:00,4.6,30.0,-2.3000000000000003,-3.9837168574084174
2019-05-12 16:24:00,5.2,26.0,-2.2795299633032027,-4.673729040755668
2019-05-12 16:30:00,3.4,17.0,-0.994063796057305,-3.2514361702743204
2019-05-12 16:36:00,4.3,19.0,-1.399943064165774,-4.065729875077062
2019-05-12 16:42:00,4.4,11.0,-0.8395595796567968,-4.319159607169722
2019-05-12 16:48:00,5.1,16.0,-1.4057505146666949,-4.902434649285426
2019-05-12 16:54:00,3.9,17.0,-1.1402496484186733,-3.729588548255838
2019-05-12 17:00:00,3.9,25.0,-1.6482112207887272,-3.534600369442935
2019-05-12 17:06:00,4.3,15.0,-1.1129218939408394,-4.153481053042993
2019-05-12 17:12:00,4.2,31.0,-2.1631599146222276,-3.600102662948872
2019-05-12 17:18:00,4.3,36.0,-2.527476584857634,-3.4787730758122737
2019-05-12 17:24:00,3.2,28.0,-1.5023090009148508,-2.8254322971485664
2019-05-12 17:30:00,4.1,42.0,-2.7434354860713186,-3.0468937844573163
2019-05-12 17:36:00,3.9,43.0,-2.6597936042437436,-2.852279436314765
2019-05-12 17:42:00,3.3,16.0,-0.9096032741960967,-3.172163596596452
2019-05-12 17:48:00,3.0,40.0,-1.9283628290596178,-2.298133329356934
2019-05-12 17:54:00,4.1,44.0,-2.8480993188818884,-2.949293181388469
2019-05-12 18:00:00,2.9,27.0,-1.3165724492446853,-2.583918920146267
2019-05-12 18:06:00,3.6,32.0,-1.9077093512395373,-3.0529731461631338
2019-05-12 18:12:00,3.1,26.0,-1.3589505550461403,-2.7862615435274174
