MMSI,name,imo,callsign,vessel_type,length_m,width_m,n_fixes,t_first,t_last,sog_max,sog_mean,type_label
367385440,LUCKY LADY,,WDE6832,31.0,14.0,5.0,350,2019-05-09 13:22:35,2019-05-10 15:43:28,3.5,0.014857142857142857,tug/towing
367386576,HERBERT J. PLAISANCE,,WDE6917,31.0,20.0,9.0,551,2019-05-11 04:18:38,2019-05-11 19:58:39,5.5,4.115607985480944,tug/towing
367387910,MISS BEVERLY,,WDE7020,31.0,10.0,5.0,276,2019-05-11 18:12:01,2019-05-12 01:59:41,6.6,4.4554347826086955,tug/towing
367387930,ODYSSEA DEFENDER,IMO9535072,WDE7022,90.0,58.0,12.0,500,2019-05-11 21:09:42,2019-05-12 11:04:51,12.2,2.7716,other
367388340,LAMAR,IMO9585065,WDE7053,31.0,30.0,12.0,2520,2019-05-08 23:20:12,2019-05-12 23:18:04,14.2,2.4037301587301587,tug/towing
367390960,CITATION,,WDE7253,31.0,22.0,9.0,348,2019-05-08 23:20:19,2019-05-09 23:52:10,8.0,4.319540229885058,tug/towing
367391260,ROBERT H DEDMAN,IMO9207003,WCY9892,60.0,80.0,19.0,2433,2019-05-08 23:22:17,2019-05-12 23:19:26,13.6,1.7207562679819155,passenger
367395010,SALVATION,,WDE7579,31.0,22.0,9.0,1198,2019-05-11 13:21:46,2019-05-12 23:19:56,7.8,2.7289649415692825,tug/towing
367398270,THAI EXPRESS 1,IMO8941145,WDE7836,30.0,24.0,7.0,1153,2019-05-08 23:22:35,2019-05-11 19:07:18,0.1,0.0006938421509106678,fishing
367403580,PASS CHRISTIAN,,WDE8273,31.0,23.0,10.0,626,2019-05-08 23:22:27,2019-05-09 20:33:07,8.2,3.95814696485623,tug/towing
367404580,CONNER P,,WDE8361,31.0,17.0,7.0,3633,2019-05-08 23:20:54,2019-05-12 23:18:04,9.0,2.3479493531516655,tug/towing
367404620,ROY DEVALL,,WDE8363,31.0,17.0,7.0,3589,2019-05-08 23:20:24,2019-05-12 23:17:54,9.0,1.8857620507105044,tug/towing
367408160,DON CARLTON,,WDE8670,31.0,26.0,9.0,699,2019-05-10 21:02:43,2019-05-11 15:54:42,9.7,3.632331902718169,tug/towing
367408220,LOUISIANA SUNRISE,,WDE8675,31.0,20.0,6.0,3636,2019-05-08 23:22:15,2019-05-12 23:18:44,7.9,1.0094334433443344,tug/towing
367414780,ELLIOT CHERAMIE,IMO9202326,WDE9213,90.0,44.0,10.0,2647,2019-05-10 01:11:07,2019-05-12 23:18:05,11.8,0.1318851530034001,other
367415160,YELLOWFIN,IMO9565584,WDG9738,31.0,35.0,10.0,1557,2019-05-08 23:21:16,2019-05-12 17:18:01,9.8,1.4665382145150931,tug/towing
